x y T T_exact
0.964843 0.180222 209.938 209.877
0.0356462 0.944429 69.0083 68.9142
0.0552403 0.0354785 208.882 209.029
0.035945 0.291267 69.0638 69.0483
0.964457 0.291114 203.931 203.919
0.956593 0.167828 213.461 213.36
0.0355871 0.384363 64.1463 64.1233
0.0668373 0.0445122 206.638 206.329
0.0437676 0.853444 61.7119 61.7258
0.964837 0.384596 200.924 200.91
0.0435025 0.931724 69.199 69.197
0.964287 0.0863178 223.983 223.797
0.0353558 0.646034 58.4327 58.4326
0.043565 0.3042 72.0023 72.0217
0.956513 0.304063 204.172 204.181
0.965089 0.589075 196.291 196.286
0.0352384 0.235184 73.3127 73.258
0.965229 0.646667 194.984 194.986
0.0719925 0.43141 75.1194 75.115
0.92637 0.803659 178.131 178.122
0.0434892 0.371646 67.8884 67.8511
0.956809 0.371633 201.569 201.543
0.964902 0.441392 199.497 199.49
0.03079 0.860269 58.5513 58.5715
0.956513 0.0994082 224.645 224.604
0.0727979 0.448138 74.4327 74.4103
0.926615 0.787521 179.883 179.905
0.956976 0.576222 195.785 195.768
0.0434979 0.738157 59.8101 59.8102
0.0430276 0.65942 60.1058 60.1105
0.95718 0.659373 193.436 193.447
0.0946142 0.045642 228.63 228.226
0.0428088 0.220315 80.1388 80.0687
0.0439962 0.702585 60.0093 60.0075
0.083708 0.0352616 236.602 236.384
0.957579 0.456624 198.949 198.953
0.957933 0.42718 199.806 199.788
0.939291 0.813615 180.704 180.699
0.0426411 0.249451 76.4137 76.422
0.983688 0.617792 197.967 197.956
0.983416 0.412396 200.099 200.1
0.0439262 0.755696 59.9369 59.9399
0.958515 0.632304 194.445 194.433
0.953662 0.534743 196.606 196.61
0.958427 0.603676 195.195 195.198
0.775915 0.0447561 283.562 283.499
0.788758 0.0404168 284.648 284.612
0.0441494 0.888329 63.9154 63.8852
0.957965 0.399072 200.626 200.625
0.953529 0.141101 217.881 217.767
0.0417016 0.6308 60.1183 60.1155
0.956716 0.960185 147.251 147.438
0.030358 0.729705 56.8647 56.8671
0.958442 0.195993 210.249 210.24
0.0455701 0.904298 65.823 65.8235
0.0585727 0.42237 70.9594 70.9611
0.0440755 0.551497 62.0491 62.0425
0.0464938 0.330846 71.5329 71.5265
0.953629 0.330801 203.263 203.257
